,id,location,morphology,ra,dec,x,y,p_sph,p_disk,p_irr,p_ps,real_x,real_y
371,373,"[2296, 1745]","[0.00039746971451000185, 0.8290915787438685, 0.16485137406045092, 0.005659577481170582]",110.83079974492603,-73.44425264247391,1745.0,2296.0,0.00039746971451000185,0.8290915787438685,0.16485137406045092,0.005659577481170582,2545.0,3096.0
372,374,"[2290, 1872]","[0.0036638436400377276, 0.017579167204780654, 0.9563807860324185, 0.02237620312276307]",110.82337143287376,-73.44435241567179,1872.0,2290.0,0.0036638436400377276,0.017579167204780654,0.9563807860324185,0.02237620312276307,2672.0,3090.0
373,375,"[2295, 2548]","[0.005601312105425616, 0.0006426610025706982, 0.00047048492139396836, 0.9932855419706097]",110.78383209496279,-73.44426344870867,2548.0,2295.0,0.005601312105425616,0.0006426610025706982,0.00047048492139396836,0.9932855419706097,3348.0,3095.0
374,376,"[2298, 2372]","[0.8882300900014874, 0.10796558388082063, 0.0038043261176918843, 0.0]",110.79412648587547,-73.44421563305207,2372.0,2298.0,0.8882300900014874,0.10796558388082063,0.0038043261176918843,0.0,3172.0,3098.0
375,377,"[2296, 2086]","[0.26196875436643113, 0.7205917882825668, 0.017424975235051855, 1.4482115950283293e-05]",110.81085459503558,-73.44425143845615,2086.0,2296.0,0.26196875436643113,0.7205917882825668,0.017424975235051855,1.4482115950283293e-05,2886.0,3096.0
376,378,"[2298, 790]","[0.0, 0.9974232382211441, 0.0024543620293567786, 0.00012239974949914767]",110.88665774662762,-73.44421258860778,790.0,2298.0,0.0,0.9974232382211441,0.0024543620293567786,0.00012239974949914767,1590.0,3098.0
377,379,"[2307, 1185]","[6.120757389160207e-05, 0.9890365955047568, 0.010357317923457988, 0.0005448789978936778]",110.86355391883473,-73.44406717207323,1185.0,2307.0,6.120757389160207e-05,0.9890365955047568,0.010357317923457988,0.0005448789978936778,1985.0,3107.0
378,380,"[2303, 1254]","[0.052293943497716155, 0.038464337194896364, 0.9075499463863584, 0.001691772921029066]",110.85951824276947,-73.44413437830765,1254.0,2303.0,0.052293943497716155,0.038464337194896364,0.9075499463863584,0.001691772921029066,2054.0,3103.0
379,381,"[2303, 881]","[0.7449072067672801, 0.2317361612123876, 0.020484404356627624, 0.002872227663704738]",110.88133492079092,-73.44413053681973,881.0,2303.0,0.7449072067672801,0.2317361612123876,0.020484404356627624,0.002872227663704738,1681.0,3103.0
380,382,"[2303, 1540]","[0.00012874628554648422, 0.0, 0.0, 0.9998712537144535]",110.84279016784929,-73.44413578691626,1540.0,2303.0,0.00012874628554648422,0.0,0.0,0.9998712537144535,2340.0,3103.0
381,383,"[2306, 2200]","[0.31032253150111855, 0.0003567727410112368, 0.0012316051939073298, 0.6880890905639628]",110.80418700275264,-73.4440839463329,2200.0,2306.0,0.31032253150111855,0.0003567727410112368,0.0012316051939073298,0.6880890905639628,3000.0,3106.0
382,384,"[2304, 1522]","[0.0012311326521173864, 0.0, 0.0, 0.9987688673478826]",110.84384297369907,-73.44411907093313,1522.0,2304.0,0.0012311326521173864,0.0,0.0,0.9987688673478826,2322.0,3104.0
383,385,"[2310, 2066]","[0.013392406124866708, 1.9117713567474697e-05, 0.0, 0.9865884761615659]",110.81202469252378,-73.44401822811434,2066.0,2310.0,0.013392406124866708,1.9117713567474697e-05,0.0,0.9865884761615659,2866.0,3110.0
384,386,"[2316, 1691]","[0.1058977478652011, 0.8919752086987278, 0.0020603181419150763, 6.672529415599738e-05]",110.83395820543657,-73.44391932588377,1691.0,2316.0,0.1058977478652011,0.8919752086987278,0.0020603181419150763,6.672529415599738e-05,2491.0,3116.0
385,387,"[2316, 1092]","[0.967288417892249, 0.0018017721271623062, -2.3475556759731947e-06, 0.03091215753626473]",110.86899313247491,-73.44391632199896,1092.0,2316.0,0.967288417892249,0.0018017721271623062,-2.3475556759731947e-06,0.03091215753626473,1892.0,3116.0
386,388,"[2320, 2290]","[0.08212293224756492, 0.0, 0.0, 0.917877067752435]",110.79892341335086,-73.44384981164626,2290.0,2320.0,0.08212293224756492,0.0,0.0,0.917877067752435,3090.0,3120.0
387,389,"[2324, 1305]","[0.02479799810905142, 9.034775904666489e-06, 7.84860794314285e-06, 0.9751851185071008]",110.85653479105456,-73.44378472726203,1305.0,2324.0,0.02479799810905142,9.034775904666489e-06,7.84860794314285e-06,0.9751851185071008,2105.0,3124.0
388,390,"[2330, 896]","[0.0, 0.9116879915340027, 0.08830947913692565, 2.5293290715998816e-06]",110.88045633380929,-73.44368073525749,896.0,2330.0,0.0,0.9116879915340027,0.08830947913692565,2.5293290715998816e-06,1696.0,3130.0
389,391,"[2333, 1653]","[0.02105500733145856, 0.00025902441160466155, 0.000861954623741513, 0.9778240136331953]",110.83618074398345,-73.44363597582772,1653.0,2333.0,0.02105500733145856,0.00025902441160466155,0.000861954623741513,0.9778240136331953,2453.0,3133.0
390,392,"[2336, 2334]","[6.98813346386617e-05, 0.23569244536000516, 0.7634032814652423, 0.0008343918401139537]",110.79635048841217,-73.44358270517631,2334.0,2336.0,6.98813346386617e-05,0.23569244536000516,0.7634032814652423,0.0008343918401139537,3134.0,3136.0
391,393,"[2344, 1584]","[0.93744040807861, 0.04800842035351891, 0.014551171567871151, 0.0]",110.84021634779126,-73.44345255191863,1584.0,2344.0,0.93744040807861,0.04800842035351891,0.014551171567871151,0.0,2384.0,3144.0
392,394,"[2345, 1762]","[0.10304650862886641, 0.8861900241843654, 0.01023795552339826, 0.0005255116633699245]",110.82980558856708,-73.44343596072561,1762.0,2345.0,0.10304650862886641,0.8861900241843654,0.01023795552339826,0.0005255116633699245,2562.0,3145.0
393,395,"[2350, 1722]","[5.203656493496055e-06, 0.9942189889750989, 0.005728663586323872, 4.7143782083782595e-05]",110.83214509012778,-73.44335265544483,1722.0,2350.0,5.203656493496055e-06,0.9942189889750989,0.005728663586323872,4.7143782083782595e-05,2522.0,3150.0
394,396,"[2349, 1427]","[0.002364716945679837, 0.9876332078602048, 0.009925035436758158, 7.703975735718352e-05]",110.84939879637597,-73.44336872316516,1427.0,2349.0,0.002364716945679837,0.9876332078602048,0.009925035436758158,7.703975735718352e-05,2227.0,3149.0
395,397,"[2350, 881]","[0.007327843025411332, 0.7928856965596933, 0.19957576060681773, 0.00021069980807766263]",110.88133272038809,-73.44334720378563,881.0,2350.0,0.007327843025411332,0.7928856965596933,0.19957576060681773,0.00021069980807766263,1681.0,3150.0
396,398,"[2358, 1792]","[0.6462986584875247, 0.3414507360401817, 0.012250605472293575, 0.0]",110.82805103653247,-73.44321925590721,1792.0,2358.0,0.6462986584875247,0.3414507360401817,0.012250605472293575,0.0,2592.0,3158.0
397,399,"[2360, 1397]","[0.5343472690059344, 0.4577532167632885, 0.007899514230777048, 0.0]",110.85115322047574,-73.44318524943681,1397.0,2360.0,0.5343472690059344,0.4577532167632885,0.007899514230777048,0.0,2197.0,3160.0
398,400,"[2363, 532]","[9.336385899175867e-06, 0.9887738376493178, 0.010247211635122705, 0.0009696143296602945]",110.9017438248474,-73.44312488854393,532.0,2363.0,9.336385899175867e-06,0.9887738376493178,0.010247211635122705,0.0009696143296602945,1332.0,3163.0
399,401,"[2371, 2025]","[0.2139478383154702, 0.10360501153339818, 0.682476302127127, -2.9151975995386282e-05]",110.81442389482878,-73.44300179322619,2025.0,2371.0,0.2139478383154702,0.10360501153339818,0.682476302127127,-2.9151975995386282e-05,2825.0,3171.0
