,x,y,num,mag_auto,merr_auto,mag_iso,merr_iso,mag_iso_1,magerr_iso,kron,backgr,ra,dec,a,b,theta,mu0,flag,fwhm,flxrad,cl
990,2546.6709,2349.4431,991,25.6648,0.1786,26.4185,0.1193,26.1846,0.1099,6.13,0.01085983,110.8307585,-73.4567119,2.207,1.233,64.13,23.1414,0,6.27,4.503,0.7
991,2524.1938,2486.0491,992,21.3343,0.0203,21.5757,0.013,21.364,0.012,3.5,0.02032532,110.8320743,-73.4544352,22.788,14.4,-9.76,22.9465,3,108.75,28.789,0.0
994,2334.3801,2349.783,995,26.3439,0.348,27.1476,0.2282,26.331,0.166,6.97,0.007770394,110.8431845,-73.4567061,2.113,1.234,-80.35,23.9509,3,9.67,3.045,0.1
997,2341.2368,2347.731,998,25.9795,0.1049,25.8696,0.0772,25.7544,0.0738,4.52,0.008271761,110.8427832,-73.4567403,2.074,1.49,18.07,23.1945,3,9.11,2.074,0.003
999,2655.7007,2354.0601,1000,26.1102,0.3107,27.4155,0.2494,26.6816,0.1899,7.94,0.01027582,110.8243767,-73.4566348,1.875,1.214,-49.2,24.2548,2,9.03,5.334,0.354
1001,2678.8286,2358.8813,1002,26.9252,0.3883,27.198,0.2111,26.7711,0.1807,5.59,0.01098773,110.823023,-73.4565544,1.674,1.116,79.0,23.9016,3,6.56,2.016,0.691
1007,2345.9648,2372.7622,1008,99.0,99.0,26.3341,0.1607,25.372,0.108,0.0,0.01092312,110.8425062,-73.4563231,2.945,2.609,29.91,24.0284,3,16.63,-0.272,0.007
1011,2350.2893,2361.1436,1012,25.213,0.0376,25.4931,0.0411,25.4675,0.0407,3.5,0.01032181,110.8422532,-73.4565168,1.582,1.043,-56.84,22.3442,3,6.97,1.894,0.755
1016,2691.7361,2369.8438,1017,25.771,0.1324,26.1144,0.1108,25.8418,0.1007,3.5,0.01025886,110.8222676,-73.4563716,2.547,1.443,-8.57,23.4023,0,10.0,3.46,0.653
1018,2680.9971,2364.9905,1019,26.8155,0.3448,27.7775,0.2869,27.1149,0.2261,5.75,0.01129164,110.8228962,-73.4564526,1.712,0.859,44.44,24.3826,3,0.0,3.123,0.444
1019,2400.9578,2365.2017,1020,26.7026,0.4211,27.6273,0.27,26.957,0.2115,6.91,0.01072279,110.8392874,-73.4564492,1.877,0.971,-25.18,24.4669,0,0.0,3.184,0.397
1025,2488.1089,2379.834,1026,26.9305,0.2405,27.2726,0.2102,26.9019,0.1836,3.5,0.01509034,110.8341863,-73.4562054,1.912,0.796,-48.09,23.9004,0,4.19,2.276,0.513
1030,2677.2373,2465.1506,1031,21.9558,0.0148,21.9792,0.0116,21.9045,0.0113,3.89,0.02948643,110.8231172,-73.4547832,11.553,7.615,-18.0,21.855,3,52.8,11.857,0.0
1032,2378.2751,2433.9385,1033,23.6166,0.0228,23.9132,0.0239,23.867,0.0235,3.5,0.0148067,110.8406146,-73.4553036,5.556,2.099,-76.41,22.2558,3,20.49,4.548,0.02
1041,2620.1863,2454.1394,1042,20.5543,0.0033,20.8188,0.0035,20.8104,0.0035,3.5,0.02968903,110.8264561,-73.4549669,7.515,4.829,-30.21,19.6436,3,10.5,7.773,0.029
1049,2672.9954,2404.9929,1050,26.361,0.4145,26.0793,0.1492,24.781,0.0812,7.61,0.02087731,110.8233649,-73.4557859,1.725,1.584,58.48,24.4282,2,9.9,3.574,0.443
1056,2680.4475,2407.6743,1057,29.7075,8.7603,27.3442,0.2671,26.0914,0.1498,7.04,0.02081463,110.8229288,-73.4557412,2.546,1.2,-33.13,24.4339,2,10.47,0.596,0.505
1067,2380.1448,2458.811,1068,23.9441,0.0398,24.0832,0.0315,23.9959,0.0304,3.5,0.01424017,110.840505,-73.454889,3.886,2.546,-73.99,22.172,3,12.45,4.134,0.014
1069,2379.2468,2446.0264,1070,23.6089,0.0219,23.8323,0.0227,23.7907,0.0223,3.5,0.01469713,110.8405577,-73.4551021,3.674,2.581,84.81,22.1154,3,15.23,4.564,0.025
1072,2640.9377,2478.5542,1073,21.0072,0.0045,21.2701,0.0048,21.2579,0.0048,3.5,0.03140041,110.8252418,-73.4545599,7.282,5.459,6.15,20.7759,3,18.06,8.453,0.029
1073,2699.3469,2504.0129,1074,22.5837,0.0329,23.4478,0.0345,23.1154,0.0307,4.51,0.02220144,110.8218237,-73.4541355,14.009,5.66,-27.16,23.4375,3,53.45,20.516,0.0
1104,2426.407,2536.1733,1105,21.3659,0.0057,21.3326,0.006,21.3083,0.0059,3.5,0.01421236,110.8377971,-73.4535997,4.762,4.003,-23.84,19.1196,2,4.71,3.519,0.511
1110,2380.9402,2553.8716,1111,20.6314,0.0029,20.5848,0.0034,20.575,0.0033,3.5,0.01164867,110.8404578,-73.4533047,3.303,3.249,-56.99,17.4927,0,3.51,2.142,0.977
1121,2692.009,2593.0754,1122,22.1179,0.0153,22.2217,0.0126,22.1497,0.0122,3.5,0.01209084,110.8222541,-73.4526511,12.161,3.437,-58.26,21.371,3,32.42,10.872,0.028
1126,2319.9231,2487.0615,1127,28.03,1.8216,27.4551,0.2658,26.5145,0.1812,7.73,0.01342506,110.8440293,-73.454418,2.434,0.97,72.68,24.2237,0,9.2,1.374,0.38
1127,2381.04,2476.9272,1128,26.1737,0.2279,28.0084,0.2986,27.5072,0.2516,8.37,0.01328794,110.8404525,-73.4545871,1.341,0.719,-64.99,24.2271,0,5.85,5.972,0.42
1159,2443.6426,2523.0562,1160,27.4795,1.4234,26.9192,0.2058,26.0296,0.1443,6.14,0.01681955,110.8367885,-73.4538184,4.156,1.585,45.41,24.0807,3,15.39,1.91,0.422
1167,2340.772,2518.7607,1168,26.1397,0.2831,26.3561,0.154,25.6698,0.1193,5.96,0.01153666,110.8428088,-73.4538898,2.05,1.75,-36.39,23.9878,3,6.83,3.379,0.228
1168,2340.2119,2507.8086,1169,27.0333,0.2515,27.7982,0.2081,27.621,0.1955,5.78,0.01234255,110.8428417,-73.4540723,1.769,0.467,47.74,23.8349,3,5.41,2.002,0.693
1176,2378.6133,2689.729,1177,22.704,0.0178,22.737,0.0153,22.6764,0.0149,3.5,0.003347221,110.8405931,-73.4510404,8.633,2.208,70.59,21.277,2,15.22,5.891,0.027
1178,2341.3403,2525.3872,1179,26.2667,0.3082,26.8361,0.1824,26.3075,0.1511,5.9,0.01138211,110.8427755,-73.4537793,2.174,1.357,26.33,23.8693,3,8.61,3.188,0.48
1186,2466.9683,2572.0664,1187,22.1822,0.0072,22.155,0.0077,22.1417,0.0076,3.5,0.01117986,110.8354233,-73.4530015,2.35,2.122,-87.98,19.0977,0,3.61,2.038,0.977
1193,2412.0747,2590.5039,1194,22.3792,0.0119,22.3666,0.0114,22.328,0.0113,3.5,0.01003996,110.8386356,-73.4526942,3.975,3.423,-42.3,20.2964,0,5.27,3.509,0.033
1194,2617.9304,2570.3347,1195,24.2425,0.0526,24.3213,0.0401,24.1881,0.0381,3.5,0.01678077,110.826589,-73.4530303,3.296,3.001,-1.25,22.3075,2,6.95,3.938,0.019
1201,2447.4707,2572.0386,1202,26.0008,0.3058,26.011,0.1229,25.5702,0.1046,5.46,0.01231622,110.8365643,-73.453002,3.839,1.486,86.81,23.4343,2,10.25,2.743,0.711
1204,2453.3149,2539.9873,1205,27.4619,0.406,27.3563,0.2154,26.9276,0.186,3.5,0.0161902,110.8362224,-73.4535362,1.65,0.996,53.55,23.9774,0,7.66,1.503,0.174
1207,2647.3979,2540.4373,1208,27.2637,0.663,27.5867,0.2724,26.9587,0.2157,7.24,0.02568204,110.8248643,-73.4535285,1.44,1.078,60.69,24.0534,1,7.45,1.857,0.402
1210,2499.9585,2542.0168,1211,26.9228,0.4984,27.4648,0.2378,26.9311,0.1976,6.11,0.0158025,110.8334927,-73.4535024,2.07,1.051,-26.43,24.1681,0,7.71,2.578,0.463
